id,deaths,age_group
0,2255.839822,<1
1,724.137931,4-Jan
2,186.8743048,14-May
3,577.3081201,15-24
4,984.4271413,25-34
5,557.2858732,35-44
6,353.7263626,45-54
7,383.759733,55-64
8,647.3859844,65-74
9,1181.31257,75-84
10,2222.46941,>84
