week,deaths
1,0.12
2,0.09
3,0.09
4,0.09
5,0.03
6,0.06
7,0.00
8,0.15
9,0.27
10,1.06
11,1.72
12,17.37
13,95.95
14,304.29
15,490.51
16,516.77
17,467.73
18,398.19
19,338.61
20,277.79
21,217.85
22,185.77
23,151.84
24,127.52
25,115.62
26,115.23
27,136.68
28,173.78
29,216.40
30,247.64
31,249.79
